##  edited 08/09/2011  imperically determined concentricities for FOPS 24 and 240, verified on sky
 86         4   B  A    15.8 -2.4023
 87         0   Z  Z     0.0  0.0000
 88        28   R  A     6.6 -2.2756
 89        63   B  A    13.5  2.7807
 90         0   Z  Z     0.0  0.0000
 91        41   R  A     6.8  1.6592
 92        46   B  A     6.5 -0.3591
 93         0   Z  Z     0.0  0.0000
 94        98   R  A    32.4  1.5338
 95        79   B  A    17.9 -0.2639
 96         4   F  A    12.5 -1.7491
 97        73   R  A     3.6  2.6363
 98        80   B  A    21.2 -0.6020
 99         0   Z  Z     0.0  0.0000
100        16   R  A    14.1 -2.8526
101        89   B  A    14.2 -0.2079
102         0   Z  Z     0.0  0.0000
103        12   R  A     8.8  3.0482
104        66   B  A    17.8  3.0635
105         0   Z  Z     0.0  0.0000
106        18   R  A    11.3 -3.0672
107        38   B  A    30.0  1.1689
108         0   Z  Z     0.0  0.0000
109        51   R  A     8.9  0.7471
110        45   B  A    27.4 -0.8783
111         0   Z  Z     0.0  0.0000
112        57   R  A     3.5 -0.7700
113        85   B  A    17.4  2.5056
114         0   Z  Z     0.0  0.0000
115        97   R  A     0.0  0.0000
116        62   B  A    20.3 -2.4835
117         0   Z  Z     0.0  0.0000
118        11   R  A    14.3  2.3933
119        43   B  A    25.5  2.5407
120         5   F  A    32.5  2.4991
121        49   R  A     2.5 -1.1638
122        23   B  A    20.7 -3.0791
123         0   Z  Z     0.0  0.0000
124        20   R  A     8.1 -0.4497
125        15   B  A    19.1 -1.8643
126         0   Z  Z     0.0  0.0000
127        37   R  A     7.5  0.4687
128        26   B  A    14.8 -2.5780
129         0   Z  Z     0.0  0.0000
130        71   R  A    10.8 -2.6373
131        77   B  A    23.2 -2.9747
132         0   Z  Z     0.0  0.0000
133        35   R  A     5.8  0.2400
134        24   B  A    30.8  2.7103
135         0   Z  Z     0.0  0.0000
136        70   R  A    13.9  2.7872
137        30   B  A    25.6  2.9114
138         0   Z  Z     0.0  0.0000
139        31   R  A     9.6  2.8029
140        60   B  A    21.6 -0.9458
141         0   Z  Z     0.0  0.0000
142         4   R  A     7.4 -2.3764
143        99   B  A     1.6  2.1888
144         6   F  A    10.0 -1.6150
145        36   R  A     5.9  1.9973
146        96   B  A    17.4 -0.2476
147         0   Z  Z     0.0  0.0000
148        77   R  A    11.6  0.9153
149        31   B  A    14.1  0.0435
150         0   Z  Z     0.0  0.0000
151        80   R  A     7.8  0.8326
152        81   B  A    22.2 -0.7204
153         0   Z  Z     0.0  0.0000
154        53   R  A     4.3  0.2007
155         7   B  A    22.9 -0.6489
156         0   Z  Z     0.0  0.0000
157        96   R  A     3.7  1.5000
158        54   B  A    15.0 -2.8715
159         0   Z  Z     0.0  0.0000
160         8   R  A     8.0 -0.2099
161        52   B  A     0.2  0.4460
162         0   Z  Z     0.0  0.0000
163        24   R  A    13.9  1.6457
164        14   B  A    18.0  2.5296
165         0   Z  Z     0.0  0.0000
166        34   R  A     2.5 -2.9928
167        18   B  B    13.5  0.5985
168         7   F  A    20.1 -2.3025
169        54   R  A    23.7 -2.7965
170        17   B  A    12.0  2.5397
171         0   Z  Z     0.0  0.0000
172        33   R  A    18.2 -1.2652
173        55   B  A    34.4 -3.0455
174         0   Z  Z     0.0  0.0000
175         7   R  A     0.5 -2.9622
176        73   B  A    23.6 -3.0662
177         0   Z  Z     0.0  0.0000
178        92   R  B    37.3 -2.6933
179         3   B  A    22.5  2.9735
180         0   Z  Z     0.0  0.0000
181         9   R  A    17.4  2.1045
182        13   B  B     8.7 -1.7698
183         0   Z  Z     0.0  0.0000
184        50   R  A     8.2  2.4452
185        48   B  B    26.0 -1.9060
186         0   Z  Z     0.0  0.0000
187        83   R  A    11.5  1.5876
188        88   B  A    39.3  2.5832
189         0   Z  Z     0.0  0.0000
190        56   R  A    11.3 -2.1450
191        87   B  A    24.8  2.9962
192         8   F  A    15.8  2.4258
193        87   R  A     2.6 -1.6070
194        16   B  A     7.2 -1.8185
195         0   Z  Z     0.0  0.0000
196         6   R  A     5.5 -2.7508
197        69   B  A    16.2 -2.1880
198         0   Z  Z     0.0  0.0000
199        25   R  A    15.7  3.0347
200        95   B  A     2.4 -1.1065
201         0   Z  Z     0.0  0.0000
202        86   R  A    42.3  1.8389
203        78   B  A    22.8  3.1414
204         0   Z  Z     0.0  0.0000
205         3   R  A    26.1  1.6268
206         9   B  A    15.4 -2.5884
207         0   Z  Z     0.0  0.0000
208        27   R  A    45.3 -3.0633
209        74   B  A    14.6  2.7472
